State,District,Market,Commodity,Arrival_Date,Min_Price,Max_Price,Modal_Price
Maharashtra,Pune,Pune APMC,Tomato,01/09/2025,1611,1891,1751
Maharashtra,Pune,Pune APMC,Tomato,02/09/2025,1486,1745,1616
Maharashtra,Pune,Pune APMC,Tomato,03/09/2025,1647,1934,1791
Maharashtra,Pune,Pune APMC,Tomato,04/09/2025,1662,1952,1807
Maharashtra,Pune,Pune APMC,Tomato,05/09/2025,1397,1640,1519
Maharashtra,Pune,Pune APMC,Tomato,06/09/2025,1454,1707,1581
Maharashtra,Pune,Pune APMC,Tomato,07/09/2025,1583,1858,1720
Maharashtra,Pune,Pune APMC,Tomato,08/09/2025,1540,1808,1674
Maharashtra,Pune,Pune APMC,Tomato,09/09/2025,1566,1838,1702
Maharashtra,Pune,Pune APMC,Tomato,10/09/2025,1488,1747,1617
Maharashtra,Pune,Pune APMC,Tomato,11/09/2025,1644,1930,1787
Maharashtra,Pune,Pune APMC,Tomato,12/09/2025,1633,1917,1775
Maharashtra,Pune,Pune APMC,Tomato,13/09/2025,1567,1840,1703
Maharashtra,Pune,Pune APMC,Tomato,14/09/2025,1662,1951,1807
Maharashtra,Pune,Pune APMC,Tomato,15/09/2025,1601,1879,1740
Maharashtra,Pune,Pune APMC,Tomato,16/09/2025,1479,1736,1607
Maharashtra,Pune,Pune APMC,Tomato,17/09/2025,1590,1866,1728
Maharashtra,Pune,Pune APMC,Tomato,18/09/2025,1468,1723,1595
Maharashtra,Pune,Pune APMC,Tomato,19/09/2025,1634,1918,1776
Maharashtra,Pune,Pune APMC,Tomato,20/09/2025,1548,1818,1683
Maharashtra,Pune,Pune APMC,Tomato,21/09/2025,1535,1802,1669
Maharashtra,Pune,Pune APMC,Tomato,22/09/2025,1489,1748,1619
Maharashtra,Pune,Pune APMC,Tomato,23/09/2025,1662,1951,1807
Maharashtra,Pune,Pune APMC,Tomato,24/09/2025,1536,1803,1670
Maharashtra,Pune,Pune APMC,Tomato,25/09/2025,1511,1773,1642
Maharashtra,Pune,Pune APMC,Tomato,26/09/2025,1517,1781,1649
Maharashtra,Pune,Pune APMC,Tomato,27/09/2025,1597,1875,1736
Maharashtra,Pune,Pune APMC,Tomato,28/09/2025,1582,1857,1720
Maharashtra,Pune,Pune APMC,Tomato,29/09/2025,1586,1862,1724
Maharashtra,Pune,Pune APMC,Tomato,30/09/2025,1588,1864,1726
Maharashtra,Pune,Pune APMC,Tomato,01/10/2025,1743,2047,1895
Maharashtra,Pune,Pune APMC,Tomato,02/10/2025,1511,1774,1643
Maharashtra,Pune,Pune APMC,Tomato,03/10/2025,1502,1763,1633
Maharashtra,Pune,Pune APMC,Tomato,04/10/2025,1475,1731,1603
Maharashtra,Pune,Pune APMC,Tomato,05/10/2025,1605,1884,1745
Maharashtra,Pune,Pune APMC,Tomato,06/10/2025,1652,1940,1796
Maharashtra,Pune,Pune APMC,Tomato,07/10/2025,1540,1807,1673
Maharashtra,Pune,Pune APMC,Tomato,08/10/2025,1474,1730,1602
Maharashtra,Pune,Pune APMC,Tomato,09/10/2025,1476,1733,1604
Maharashtra,Pune,Pune APMC,Tomato,10/10/2025,1611,1891,1751
Maharashtra,Pune,Pune APMC,Tomato,11/10/2025,1620,1902,1761
Maharashtra,Pune,Pune APMC,Tomato,12/10/2025,1603,1882,1742
Maharashtra,Pune,Pune APMC,Tomato,13/10/2025,1494,1754,1624
Maharashtra,Pune,Pune APMC,Tomato,14/10/2025,1577,1851,1714
Maharashtra,Pune,Pune APMC,Tomato,15/10/2025,1567,1840,1703
Maharashtra,Pune,Pune APMC,Tomato,16/10/2025,1578,1852,1715
Maharashtra,Pune,Pune APMC,Tomato,17/10/2025,1638,1923,1781
Maharashtra,Pune,Pune APMC,Tomato,18/10/2025,1581,1856,1718
Maharashtra,Pune,Pune APMC,Tomato,19/10/2025,1624,1906,1765
Maharashtra,Pune,Pune APMC,Tomato,20/10/2025,1569,1842,1706
Maharashtra,Pune,Pune APMC,Tomato,21/10/2025,1591,1868,1729
Maharashtra,Pune,Pune APMC,Tomato,22/10/2025,1624,1906,1765
Maharashtra,Pune,Pune APMC,Tomato,23/10/2025,1435,1685,1560
Maharashtra,Pune,Pune APMC,Tomato,24/10/2025,1541,1809,1675
Maharashtra,Pune,Pune APMC,Tomato,25/10/2025,1529,1795,1662
Maharashtra,Pune,Pune APMC,Tomato,26/10/2025,1516,1779,1647
Maharashtra,Pune,Pune APMC,Tomato,27/10/2025,1551,1820,1686
Maharashtra,Pune,Pune APMC,Tomato,28/10/2025,1714,2012,1863
Maharashtra,Pune,Pune APMC,Tomato,29/10/2025,1501,1762,1632
Maharashtra,Pune,Pune APMC,Tomato,30/10/2025,1670,1961,1816
Maharashtra,Pune,Pune APMC,Tomato,31/10/2025,1431,1680,1556
Maharashtra,Pune,Pune APMC,Tomato,01/11/2025,1556,1827,1692
Maharashtra,Pune,Pune APMC,Tomato,02/11/2025,1604,1883,1744
Maharashtra,Pune,Pune APMC,Tomato,03/11/2025,1645,1931,1788
Maharashtra,Pune,Pune APMC,Tomato,04/11/2025,1659,1948,1804
Maharashtra,Pune,Pune APMC,Tomato,05/11/2025,1669,1960,1815
Maharashtra,Pune,Pune APMC,Tomato,06/11/2025,1568,1841,1704
Maharashtra,Pune,Pune APMC,Tomato,07/11/2025,1561,1832,1696
Maharashtra,Pune,Pune APMC,Tomato,08/11/2025,1684,1976,1830
Maharashtra,Pune,Pune APMC,Tomato,09/11/2025,1591,1868,1729
Maharashtra,Pune,Pune APMC,Tomato,10/11/2025,1495,1755,1625
Maharashtra,Pune,Pune APMC,Tomato,11/11/2025,1511,1774,1643
Maharashtra,Pune,Pune APMC,Tomato,12/11/2025,1534,1800,1667
Maharashtra,Pune,Pune APMC,Tomato,13/11/2025,1666,1956,1811
Maharashtra,Pune,Pune APMC,Tomato,14/11/2025,1637,1922,1779
Maharashtra,Pune,Pune APMC,Tomato,15/11/2025,1690,1984,1837
Maharashtra,Pune,Pune APMC,Tomato,16/11/2025,1592,1868,1730
Maharashtra,Pune,Pune APMC,Tomato,17/11/2025,1648,1935,1792
Maharashtra,Pune,Pune APMC,Tomato,18/11/2025,1694,1989,1842
Maharashtra,Pune,Pune APMC,Tomato,19/11/2025,1613,1893,1753
Maharashtra,Pune,Pune APMC,Tomato,20/11/2025,1686,1979,1833
Maharashtra,Pune,Pune APMC,Tomato,21/11/2025,1588,1864,1726
Maharashtra,Pune,Pune APMC,Tomato,22/11/2025,1619,1900,1759
Maharashtra,Pune,Pune APMC,Tomato,23/11/2025,1621,1902,1761
Maharashtra,Pune,Pune APMC,Tomato,24/11/2025,1550,1820,1685
Maharashtra,Pune,Pune APMC,Tomato,25/11/2025,1707,2004,1856
Maharashtra,Pune,Pune APMC,Tomato,26/11/2025,1624,1906,1765
Maharashtra,Pune,Pune APMC,Tomato,27/11/2025,1672,1963,1817
Maharashtra,Pune,Pune APMC,Tomato,28/11/2025,1718,2017,1868
Maharashtra,Pune,Pune APMC,Tomato,29/11/2025,1719,2018,1869
Maharashtra,Pune,Pune APMC,Tomato,30/11/2025,1743,2046,1895
Maharashtra,Pune,Pune APMC,Tomato,01/12/2025,1678,1969,1824
Maharashtra,Pune,Pune APMC,Tomato,02/12/2025,1652,1940,1796
Maharashtra,Pune,Pune APMC,Tomato,03/12/2025,1688,1981,1834
Maharashtra,Pune,Pune APMC,Tomato,04/12/2025,1545,1814,1680
Maharashtra,Pune,Pune APMC,Tomato,05/12/2025,1572,1845,1708
Maharashtra,Pune,Pune APMC,Tomato,06/12/2025,1587,1863,1725
Maharashtra,Pune,Pune APMC,Tomato,07/12/2025,1621,1903,1762
Maharashtra,Pune,Pune APMC,Tomato,08/12/2025,1753,2057,1905
Maharashtra,Pune,Pune APMC,Tomato,09/12/2025,1638,1923,1781
Maharashtra,Pune,Pune APMC,Tomato,10/12/2025,1691,1985,1838
Maharashtra,Pune,Pune APMC,Tomato,11/12/2025,1848,2169,2008
Maharashtra,Pune,Pune APMC,Tomato,12/12/2025,1701,1997,1849
Maharashtra,Pune,Pune APMC,Tomato,13/12/2025,1805,2119,1962
Maharashtra,Pune,Pune APMC,Tomato,14/12/2025,1658,1946,1802
Maharashtra,Pune,Pune APMC,Tomato,15/12/2025,1729,2029,1879
Maharashtra,Pune,Pune APMC,Tomato,16/12/2025,1665,1955,1810
Maharashtra,Pune,Pune APMC,Tomato,17/12/2025,1726,2026,1876
Maharashtra,Pune,Pune APMC,Tomato,18/12/2025,1837,2157,1997
Maharashtra,Pune,Pune APMC,Tomato,19/12/2025,1608,1888,1748
Maharashtra,Pune,Pune APMC,Tomato,20/12/2025,1810,2124,1967
Maharashtra,Pune,Pune APMC,Tomato,21/12/2025,1796,2109,1953
Maharashtra,Pune,Pune APMC,Tomato,22/12/2025,1725,2025,1875
Maharashtra,Pune,Pune APMC,Tomato,23/12/2025,1652,1940,1796
Maharashtra,Pune,Pune APMC,Tomato,24/12/2025,1795,2108,1951
Maharashtra,Pune,Pune APMC,Tomato,25/12/2025,1745,2049,1897
Maharashtra,Pune,Pune APMC,Tomato,26/12/2025,1819,2136,1978
Maharashtra,Pune,Pune APMC,Tomato,27/12/2025,1805,2119,1962
Maharashtra,Pune,Pune APMC,Tomato,28/12/2025,1953,2293,2123
Maharashtra,Pune,Pune APMC,Tomato,29/12/2025,1790,2102,1946
Maharashtra,Pune,Pune APMC,Tomato,30/12/2025,1724,2023,1874
Maharashtra,Pune,Pune APMC,Tomato,31/12/2025,1838,2158,1998
Maharashtra,Pune,Pune APMC,Tomato,01/01/2026,1846,2167,2007
Maharashtra,Pune,Pune APMC,Tomato,02/01/2026,1955,2295,2125
Maharashtra,Pune,Pune APMC,Tomato,03/01/2026,1912,2244,2078
Maharashtra,Pune,Pune APMC,Tomato,04/01/2026,1873,2199,2036
Maharashtra,Pune,Pune APMC,Tomato,05/01/2026,1978,2322,2150
Maharashtra,Pune,Pune APMC,Tomato,06/01/2026,1741,2044,1893
Maharashtra,Pune,Pune APMC,Tomato,07/01/2026,1796,2109,1952
Maharashtra,Pune,Pune APMC,Tomato,08/01/2026,1775,2083,1929
Maharashtra,Pune,Pune APMC,Tomato,09/01/2026,1828,2146,1987
Maharashtra,Pune,Pune APMC,Tomato,10/01/2026,1743,2046,1895
Maharashtra,Pune,Pune APMC,Tomato,11/01/2026,1931,2267,2099
Maharashtra,Pune,Pune APMC,Tomato,12/01/2026,1857,2180,2019
Maharashtra,Pune,Pune APMC,Tomato,13/01/2026,1748,2052,1900
Maharashtra,Pune,Pune APMC,Tomato,14/01/2026,1794,2106,1950
Maharashtra,Pune,Pune APMC,Tomato,15/01/2026,1920,2254,2087
Maharashtra,Pune,Pune APMC,Tomato,16/01/2026,1972,2315,2144
Maharashtra,Pune,Pune APMC,Tomato,17/01/2026,2082,2444,2263
Maharashtra,Pune,Pune APMC,Tomato,18/01/2026,2170,2548,2359
Maharashtra,Pune,Pune APMC,Tomato,19/01/2026,1947,2286,2116
Maharashtra,Pune,Pune APMC,Tomato,20/01/2026,1824,2141,1982
Maharashtra,Pune,Pune APMC,Tomato,21/01/2026,1724,2024,1874
Maharashtra,Pune,Pune APMC,Tomato,22/01/2026,1947,2286,2116
Maharashtra,Pune,Pune APMC,Tomato,23/01/2026,1853,2175,2014
Maharashtra,Pune,Pune APMC,Tomato,24/01/2026,1893,2223,2058
